||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Beykoz/Beykoz Bel./Gümüşsuyu Mah.)-40237|14306.0|
|İstanbul(Beykoz/Beykoz Bel./İncirköy Mah.)-40238|18235.0|
|İstanbul(Beykoz/Beykoz Bel./İshaklı Mah.)-191731|1279.0|
|İstanbul(Beykoz/Beykoz Bel./Kanlıca Mah.)-40242|4297.0|
|İstanbul(Beykoz/Beykoz Bel./Kavacık Mah.)-40247|23903.0|
|İstanbul(Beykoz/Beykoz Bel./Kaynarca Mah.)-191715|584.0|
|İstanbul(Beykoz/Beykoz Bel./Kılıçlı Mah.)-191733|532.0|
|İstanbul(Beykoz/Beykoz Bel./Mahmutşevketpaşa Mah.)-191723|1802.0|
|İstanbul(Beykoz/Beykoz Bel./Merkez Mah.)-40251|6103.0|
|İstanbul(Beykoz/Beykoz Bel./Öğümce Mah.)-191735|479.0|
|İstanbul(Beykoz/Beykoz Bel./Örnekköy Mah.)-191721|3992.0|
|İstanbul(Beykoz/Beykoz Bel./Ortaçeşme Mah.)-40254|8082.0|
|İstanbul(Beykoz/Beykoz Bel./Paşabahçe Mah.)-40239|3871.0|
|İstanbul(Beykoz/Beykoz Bel./Paşamandıra Mah.)-191737|1032.0|
|İstanbul(Beykoz/Beykoz Bel./Polonezköy Mah.)-191717|370.0|
|İstanbul(Beykoz/Beykoz Bel./Poyrazköy Mah.)-191719|909.0|
|İstanbul(Beykoz/Beykoz Bel./Riva Mah.)-191707|2178.0|
|İstanbul(Beykoz/Beykoz Bel./Rüzgarlıbahçe Mah.)-40248|7904.0|
|İstanbul(Beykoz/Beykoz Bel./Soğuksu Mah.)-40249|11071.0|
|İstanbul(Beykoz/Beykoz Bel./Tokatköy Mah.)-40255|15277.0|
|İstanbul(Beykoz/Beykoz Bel./Yalıköy Mah.)-40252|5430.0|
|İstanbul(Beykoz/Beykoz Bel./Yavuz Selim Mah.)-40261|5117.0|
|İstanbul(Beykoz/Beykoz Bel./Yeni Mahalle Mah.)-40245|19393.0|
|İstanbul(Beykoz/Beykoz Bel./Zerzavatçı Mah.)-191739|944.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Adnan Kahveci Mah.)-40869|80681.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Barış Mah.)-40875|51476.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Büyükşehir Mah.)-40877|20851.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Cumhuriyet Mah.)-40874|20837.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Dereağzı Mah.)-40870|10401.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Gürpınar Mah.)-40867|18936.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Kavaklı Mah.)-40873|23596.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Marmara Mah.)-40893|25609.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Sahil Mah.)-40876|4234.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Yakuplu Mah.)-40894|40792.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Arap Cami Mah.)-40299|105.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Asmalı Mescit Mah.)-40281|466.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bedrettin Mah.)-40300|782.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bereketzade Mah.)-40298|392.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bostan Mah.)-40291|2495.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bülbül Mah.)-40292|4023.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Camiikebir Mah.)-40301|2754.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Çatma Mescit Mah.)-40283|2484.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Cihangir Mah.)-40275|3549.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Çukur Mah.)-40293|2782.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Emekyemez Mah.)-40269|143.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Evliya Çelebi Mah.)-40282|270.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Fetihtepe Mah.)-40262|15937.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Firuzağa Mah.)-40276|4140.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Gümüşsuyu Mah.)-40278|2161.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Hacıahmet Mah.)-40280|15386.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Hacımimi Mah.)-40285|1382.0|
