ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1327,FATÝH,Ýstanbul Üniversitesi Týp Fakültesi Cerrahi Týp Bilimleri,Poliklinik,Turgut Özal Millet Cad. No:118R TOPKAPI/FATÝH,0212 414 20 00 - 0212 414 30 00,http://istanbultip.istanbul.edu.tr,Yok,750,,TOPKAPI,41.017235792000065,28.93443848800007
1622,SÝLÝVRÝ,Silivri 2 Nolu Cezaevi Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Çanta Cad. No:162B SEMÝZKUMLAR/SÝLÝVRÝ,0212 726 00 57,,Yok,0,,SEMÝZKUMLAR,41.08633577100005,28.15317974100003
1604,SARIYER,Genel Cerrah Op. Dr. Mehmet Bayraktar,Muayenehane,Yeni Mahalle Cad. No:9 MERKEZ/SARIYER,0532 234 67 80,,,,,SARIYER MERKEZ,41.16834661400003,29.057081139000047
1604,SARIYER,Sarýyer Aðýz ve Diþ Saðlýðý Merkezi,Aðýz ve Diþ Saðlýðý Merkezi,Araba Yolu Cad. No:33 CUMHURÝYET/SARIYER,0212 328 35 35,,Yok,0,,CUMHURÝYET,41.144826730000034,29.031494768000073
1622,SÝLÝVRÝ,Özgün Yaþlý Bakýmevi,Bakým Evi,Çelebi Sk. No:5 YENÝ/SÝLÝVRÝ,0212 731 66 30,www.ozgunyaslibakimmerkezi.com,,54,Yok,YENÝ,41.078491761000066,28.25653343500005
1622,SÝLÝVRÝ,Silivri Devlet Hastanesi Selimpaþa Ek Hizmet Binasý,Devlet Hastanesi,202. Cad. No:6 SELÝMPAÞA/SÝLÝVRÝ,0212 731 88 08,www.silivridh.saglik.gov.tr,Var,35,Var,SELÝMPAÞA,41.05433252000006,28.37936053800007
1604,SARIYER,Ýstinye Devlet Hastanesi Diyaliz Merkezi,Diyaliz Merkezi,Doktor Nurettin Cankat Sk. No:54 ÝSTÝNYE/SARIYER,0212 277 49 12 - 0212 323 44 44,www.idh.gov.tr,Var,,Var,ÝSTÝNYE,41.114882796000074,29.055491351000057
1327,FATÝH,Özel Çapadent Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Turgut Özal Millet Cad. No:135 ÞEHREMÝNÝ/FATÝH,0212 587 71 71,www.capadent.net,,,,ÞEHREMÝNÝ,41.01530084600006,28.932564154000033
1327,FATÝH,Ýstanbul Haseki Eðitim ve Araþtýrma Hastanesi 29 Mayýs Ek Hizmet Binasý,Eðitim Araþtýrma Hastanesi,29 Mayýs Sk. No:3 HIRKA-Ý ÞERÝF/FATÝH,0212 533 34 61 - 68,www.hasekieah.saglik.gov.tr,Var,125,Yok,HIRKA-Ý ÞERÝF,41.02046470000005,28.937513955000043
1327,FATÝH,Ýstanbul Üniversitesi-Cerrahpaþa Týp Fakültesi Nöroloji Bölümü,Poliklinik,Koca Mustafapaþa Cad. No:53/2 CERRAHPAÞA/FATÝH,0212 414 30 00,http://cerrahpasa.istanbul.edu.tr,Yok,,,CERRAHPAÞA,41.00514597800003,28.94026860500003
1604,SARIYER,Özel Acýbadem Týp Merkezi Zekeriyaköy,Týp Merkezi Özel,Kardelen Cad. No:2 ZEKERÝYAKÖY/SARIYER,0212 201 56 56,www.acibadem.com.tr,Yok,,Yok,ZEKERÝYAKÖY,41.20556121300007,29.04183134400006
1604,SARIYER,Sarýyer 5 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Zekeriyaköy Cad. No:19 ZEKERÝYAKÖY/SARIYER,0212 202 85 95,,Yok,0,,ZEKERÝYAKÖY,41.196876634000034,29.028913317000047
1183,BEÞÝKTAÞ,Özel Memorial Týp Merkezi Etiler,Týp Merkezi Özel,Peker Sk. No:38 NÝSBETÝYE/BEÞÝKTAÞ,0212 324 99 99,www.memorial.com.tr,Yok,,Yok,NÝSBETÝYE,41.076124107000055,29.021072595000078
1183,BEÞÝKTAÞ,Animal Doctors Veteriner Kliniði,Veteriner,Muallim Naci Cad. No:49 ORTAKÖY/BEÞÝKTAÞ,0212 261 51 22,www.animaldoctors.com,,0,Yok,ORTAKÖY,41.04899568400003,29.027864544000067
1327,FATÝH,Özel Paþa Dent Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Meyvacý Sk. No:1 SÝLÝVRÝKAPI/FATÝH,0212 529 80 12,,,,,SÝLÝVRÝKAPI,41.004168209000056,28.928650756000025
1336,GAZÝOSMANPAÞA,Özel Dentoria Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Cumhuriyet Meydaný No:2B MERKEZ/GAZÝOSMANPAÞA,0212 614 55 55,www.dentoria.com.tr,,,,MERKEZ,41.05795299000005,28.912410584000042
1823,KÜÇÜKÇEKMECE,Diþ Hekimi Firdevs Saraç,Muayenehane,Hürriyet Cad. No:80 CENNET/KÜÇÜKÇEKMECE,0212 598 13 09,,,,,CENNET,40.99249955600004,28.779358337000076
1810,KAÐITHANE,Özel Sena Aðýz ve Diþ Saðlýðý Polikliniði,Poliklinik Özel,Sultan Selim Cad. No:1 SULTAN SELÝM/KAÐITHANE,0212 283 12 55,,Yok,0,,SULTAN SELÝM,41.09091100000006,29.000536964000048
1708,ÜSKÜDAR,Cumhuriyet Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Hekimoðlu Sk. No:10 CUMHURÝYET/ÜSKÜDAR,0216 520 05 20,,Yok,0,,CUMHURÝYET,41.01241506200006,29.085184080000033
1421,KADIKÖY,Ýstanbul Medeniyet Üniversitesi Göztepe Eðitim ve Araþtýrma Hastanesi Merdivenköy Polikliniði,Poliklinik,Ressam Salih Erimez Cad. No:21 MERDÝVENKÖY/KADIKÖY,0216 566 66 00,www.sbgoztepehastanesi.gov.tr,Yok,0,,MERDÝVENKÖY,40.98572448300007,29.06583905100007
1421,KADIKÖY,Gözüm Optik,Optik,Muvakkýthane Cad. No:21 CAFERAÐA/KADIKÖY,0216 348 62 33,,,,,CAFERAÐA,40.989910321000025,29.024548878000076
1421,KADIKÖY,Sedat Optik,Optik,General Asým Gündüz Cad. No:19 OSMANAÐA/KADIKÖY,0216 346 82 76,,,,,OSMANAÐA,40.98868503400007,29.028968775000067
