_id,NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
177,Yıldırım Beyazıd Parkı,29.0743116000146991,41.0517273925567991,GÜZELTEPE,ÜSKÜDAR
178,Küplüce Parkı,29.0509581919577009,41.0364858373480033,KÜPLÜCE,ÜSKÜDAR
179,Gülseve Parkı,29.0313354559772989,41.0236412502715027,MURATREİS,ÜSKÜDAR
180,Şehitler Parkı,29.0524003868980998,41.0170537462846028,ALTUNİZADE,ÜSKÜDAR
181,Aydınlar Parkı,29.2280796326054002,41.0186499742300015,AYDINLAR,ÇEKMEKÖY
182,Şehit Binbaşı Ömer Aktuğ Parkı,29.1756000642341995,41.0346686987721014,MERKEZ,ÇEKMEKÖY
183,Esenyalı Çocuk Parkı,29.2938236052969998,40.858709872828598,ESENYALI,PENDİK
184,Adnan Menderes Parkı,28.8708456304034016,41.0887652365542024,50. YIL,SULTANGAZİ
185,Çocuk Parkı,28.9091450068438007,41.2542617222214005,ÇİFTALAN,EYÜPSULTAN
186,Oğuzhan Sok. Parkı,28.8315425576540001,41.0058244663989981,FEVZİ ÇAKMAK,BAHÇELİEVLER
187,Park,29.1586753155444995,40.9020312233849026,ORHANTEPE,KARTAL
188,Şehit Mehmet Çetinkaya Parkı,28.9465173109931015,41.012006944609702,MOLLA GÜRANİ,FATİH
189,Haşim İşcan Parkı,28.9354106310142996,41.0236236108617973,KARAGÜMRÜK,FATİH
190,Emre Belezoğlu Altı Parkı,28.9301984629098996,40.9957846615505019,KOCA MUSTAFAPAŞA,FATİH
191,Nakilbent Parkı,28.9747459298112986,41.0042543965302997,KÜÇÜK AYASOFYA,FATİH
192,Kalburcu Mehmet Parkı,28.9260727131883009,41.0172381672430006,MEVLANAKAPI,FATİH
193,Veysel Satık Parkı,28.9562404485394005,41.0214914265114032,CİBALİ,FATİH
194,Oruçgazi Parkı,28.9526951339036991,41.0130457327084983,İSKENDERPAŞA,FATİH
195,Beyceğiz Parkı,28.9443828323661982,41.0243071615506025,ATİKALİ,FATİH
196,Sultanahmet Havuzlu Park,28.9783758576765003,41.0071506059600992,CANKURTARAN,FATİH
197,Aşık Paşa Parkı,28.9558643444564012,41.0239754942184973,YAVUZ SULTAN SELİM,FATİH
198,23 Nisan Çocuk Parkı,28.973300395239999,41.0039405374539001,KÜÇÜK AYASOFYA,FATİH
199,Kurtağa Parkı ve Spor Alanı,28.9397562987873016,41.0284679600867008,DERVİŞ ALİ,FATİH
200,Kariye Parkı,28.9382482983796017,41.031170821186798,DERVİŞ ALİ,FATİH
201,Kurtağa Çeşme Parkı,28.9398373855138011,41.0281168492727986,DERVİŞ ALİ,FATİH
202,Hurşit Makinacı Parkı,28.9155463494704996,41.0382536294225986,YENİDOĞAN,BAYRAMPAŞA
203,100. Yıl Parkı,28.8880121911189001,41.0695062568542966,YILDIRIM,BAYRAMPAŞA
204,Sancak Parkı,28.8908154879730006,41.0622390218444977,YILDIRIM,BAYRAMPAŞA
205,Dr. Sadık Ahmet Parkı,28.8890070980084985,41.0637303489705019,YILDIRIM,BAYRAMPAŞA
206,Sabri Akpınar Parkı,28.9088083714182993,41.0438755416196983,İSMET PAŞA,BAYRAMPAŞA
207,Uzun Yusuf Parkı,28.9265530688803985,41.0077734732824979,SEYYİD ÖMER,FATİH
208,Kariye Şehir Parkı,28.939691835950299,41.0309462042877016,DERVİŞ ALİ,FATİH
209,Dr. Nihat Ergin Parkı,28.8989802344432007,41.0568787504592976,KARTALTEPE,BAYRAMPAŞA
210,Hülya Sok. Çocuk Parkı,28.8988027271246004,41.0555805164768017,KARTALTEPE,BAYRAMPAŞA
211,Dökümcüler Parkı,28.9082643702689985,41.047896772340799,MURATPAŞA,BAYRAMPAŞA
212,Hudut Parkı,28.8889862777825002,41.0632425590254968,YILDIRIM,BAYRAMPAŞA
213,Park,29.2180924063071004,41.0197616176269975,KİRAZLIDERE,ÇEKMEKÖY
214,Fevzi Çakmak Parkı,29.2168679521046997,41.0199594026775003,KİRAZLIDERE,ÇEKMEKÖY
215,Bademlik Parkı,28.9480871716598998,41.0527389965315024,SÜTLÜCE,BEYOĞLU
216,Sefa Meydanı Parkı,28.9770522218011983,41.0434868492371976,YENİŞEHİR,BEYOĞLU
217,Gümüşsuyu Parkı,28.9875825083885985,41.0353174063102983,GÜMÜŞSUYU,BEYOĞLU
218,Tophane Parkı,28.9797777504764014,41.0269988100185969,HACIMİMİ,BEYOĞLU
219,Çıksalın Sok. Altı Parkı,28.9504637952942012,41.0503680625024003,HALICIOĞLU,BEYOĞLU
220,Attila İlhan Çocuk Parkı,28.8591131417454996,40.9779793758197997,ATAKÖY 2-5-6. KISIM,BAKIRKÖY
221,Ataköy 3. Kısım Çocuk Parkı,28.8630081224054003,40.9823258369298031,ATAKÖY 3-4-11. KISIM,BAKIRKÖY
222,Barlas Küntay Parkı,28.8539833619676998,40.9828888178255966,ATAKÖY 2-5-6. KISIM,BAKIRKÖY
223,Ahmet Sezgin Parkı,28.8395017130738012,40.9869771216571976,ATAKÖY 7-8-9-10. KISIM,BAKIRKÖY
224,Acısu Parkı,28.9568398518279011,41.041168969972901,KEÇECİ PİRİ,BEYOĞLU
225,Aynalıkavak Parkı,28.9560740610926999,41.0388763397463023,KEÇECİ PİRİ,BEYOĞLU
